date,open,high,low,close
2019/12/23,11969.13965,12022.23047,11960.20996,12022.23047
2019/12/20,12001.55957,12028.21973,11937.4502,11959.08008
2019/12/19,12082.98047,12111.76953,12008.16016,12018.90039
2019/12/18,12061.09961,12125.90039,12059.91992,12122.4502
2019/12/17,11939.62012,12097.00977,11939.62012,12097.00977
2019/12/16,11915.61035,11975.73047,11915.61035,11939.76953
2019/12/13,11937.90039,11990.78027,11913.01953,11927.73047
2019/12/12,11766.98047,11875.98047,11766.98047,11836.41992
2019/12/11,11635.07031,11700.76953,11622.58008,11700.76953
2019/12/10,11647.78027,11649.73047,11607.25977,11627.83984
2019/12/9,11635.46973,11678.36035,11631.03027,11660.76953
2019/12/6,11639.7998,11657.65039,11577.83008,11609.63965
2019/12/5,11546.75,11604.38965,11546.75,11594.65039
2019/12/4,11511.82031,11513.83008,11457.42969,11510.46973
2019/12/3,11473.32031,11531.58008,11460.05957,11531.58008
2019/12/2,11509.94043,11524.84961,11454.37988,11502.83008
2019/11/29,11616.87988,11623.58984,11485.16016,11489.57031
2019/11/28,11641.7002,11654.05957,11604.67969,11617.08008
2019/11/27,11590.80957,11651.73047,11590.80957,11647.45996
2019/11/26,11608.37012,11642.95996,11576.82031,11576.82031
2019/11/25,11590.80957,11604.75,11559.33008,11561.58008
2019/11/22,11556.75,11577.01953,11534.15039,11566.7998
2019/11/21,11573.83984,11573.83984,11478.42969,11558.26953
2019/11/20,11645.73047,11649.07031,11591.73047,11631.2002
2019/11/19,11608.48047,11656.40039,11576.79004,11656.40039
2019/11/18,11543.7998,11599.78027,11532.96973,11599.78027
2019/11/15,11485.45996,11552.25,11485.45996,11525.59961
2019/11/14,11488.74023,11498.25,11424.76953,11450.41992
2019/11/13,11483.24023,11509.37012,11439.08984,11467.83008
2019/11/12,11463.33008,11520.37012,11459.67969,11520.37012
2019/11/11,11570.33008,11570.33008,11409.83008,11427.28027
2019/11/8,11620.88965,11642.41016,11561.30957,11579.54004
2019/11/7,11642.91016,11647.46973,11552.08008,11606.55957
2019/11/6,11645.08008,11668.2002,11601.7002,11653.07031
2019/11/5,11576.17969,11644.03027,11576.17969,11644.03027
2019/11/4,11451.71973,11559.07031,11451.71973,11556.84961
2019/11/1,11373.7002,11399.53027,11335.50977,11399.53027
2019/10/31,11393.67969,11428.41992,11358.70996,11358.70996
2019/10/30,11336.96973,11380.28027,11306.9502,11380.28027
2019/10/29,11347.38965,11373.9502,11292.83008,11333.87012
2019/10/28,11321.99023,11341.03027,11295.44043,11315.01953
2019/10/25,11336.63965,11347.17969,11281.37012,11296.12012
2019/10/24,11266.83984,11320.13965,11254.58984,11320.13965
2019/10/23,11266.17969,11281.12012,11209.09961,11239.66992
2019/10/22,11221.19043,11271.25,11218.25,11271.25
2019/10/21,11166.24023,11188.12988,11147.86035,11184.15039
2019/10/18,11190.20996,11237.37988,11154.86035,11180.21973
2019/10/17,11156.13965,11186.87988,11131.4502,11186.87988
2019/10/16,11166.16992,11180.11035,11113.17969,11162.83008
2019/10/15,11103.5,11126.4502,11091.29004,11111.7998
2019/10/14,11004.74023,11085.49023,11004.74023,11066.9502
2019/10/9,10976.92969,10989.38965,10889.95996,10889.95996
2019/10/8,10986.00977,11020.50977,10986.00977,11017.30957
2019/10/7,10932.24023,10954.4502,10919.42969,10935.05957
2019/10/4,10907.69043,10941.49023,10854.12012,10894.48047
2019/10/3,10866.5,10888.40039,10809.28027,10875.91016
2019/10/2,10945.91992,10965.2002,10927.38965,10947.87988
2019/10/1,10855.59961,10967.65039,10855.59961,10967.65039
2019/9/27,10904,10921.16992,10827.61035,10829.67969
2019/9/26,10909.57031,10934.91016,10856.95996,10871.99023
2019/9/25,10885.66992,10885.66992,10825.84961,10873.69043
2019/9/24,10917.44043,10947.53027,10886.62012,10918.00977
2019/9/23,10924.80957,10948.19043,10905.91992,10919.01953
2019/9/20,10908.09961,10931.75977,10903.4502,10929.69043
2019/9/19,10947.62012,10954.17969,10874.66016,10894.7002
2019/9/18,10887.41992,10971.54004,10878.33984,10929.4502
2019/9/17,10908.84961,10912.23047,10866.42969,10874.5
2019/9/16,10822.69043,10898.12988,10822.69043,10898.12988
2019/9/12,10830.25,10862.67969,10804.01953,10827.5498
2019/9/11,10787.65039,10815.58984,10746.87012,10790.34961
2019/9/10,10791.9502,10810.03027,10732.78027,10753.58008
2019/9/9,10808.67969,10829.44043,10778.15039,10801.13965
2019/9/6,10783.45996,10803.07031,10753.4502,10780.63965
2019/9/5,10718.40039,10766.59961,10714.26953,10756.92969
2019/9/4,10566.32031,10670.42969,10566.32031,10657.30957
2019/9/3,10629.21973,10650.15039,10557.03027,10558.20996
2019/9/2,10613.19043,10634.84961,10589.41992,10634.84961
2019/8/30,10504.28027,10618.0498,10504.28027,10618.0498
2019/8/29,10440.15039,10466.99023,10406.49023,10462.42969
2019/8/28,10397.59961,10456.2998,10397.59961,10434.29004
2019/8/27,10386.20996,10431.78027,10368.95996,10387.23047
2019/8/26,10453.40039,10453.40039,10340.15039,10354.57031
2019/8/23,10526.15039,10541.73047,10503.07031,10538.11035
2019/8/22,10560.00977,10596.41016,10515.71973,10529.78027
2019/8/21,10526.87012,10545.25,10504.49023,10525.7998
2019/8/20,10508.41992,10538.12012,10497.12988,10522.5
2019/8/19,10449.38965,10516.0498,10449.38965,10488.75
2019/8/16,10345.41992,10456.32031,10318.37012,10420.88965
2019/8/15,10374.75,10374.75,10287.75977,10327.12988
2019/8/14,10444.5,10518.01953,10427.73047,10427.73047
2019/8/13,10436.62012,10436.62012,10361.88965,10362.66016
2019/8/12,10491.79004,10514.0498,10440.76953,10472.36035
2019/8/8,10383.62012,10500.76953,10383.62012,10494.49023
2019/8/7,10422.88965,10461.37012,10366.54004,10386.17969
2019/8/6,10304.87988,10425.59961,10180.04004,10394.75
2019/8/5,10528.87012,10542.49023,10418.25,10423.41016
2019/8/2,10641.28027,10641.28027,10524.67969,10549.04004
2019/8/1,10773.05957,10773.25,10714.73047,10731.75
2019/7/31,10824.15039,10835.7998,10754.07031,10823.80957
2019/7/30,10909.98047,10927.16016,10827.74023,10830.90039
2019/7/29,10872.62988,10905.74023,10863.33008,10885.73047
2019/7/26,10898.25,10907.44043,10879.24023,10891.98047
2019/7/25,10892.25,10945.91992,10879.40039,10941.41016
2019/7/24,10969.74023,10976.45996,10912.91992,10935.75977
2019/7/23,10963.86035,10994.44043,10932.53027,10947.25977
2019/7/22,10910.5,10949.75977,10909.15039,10944.53027
2019/7/19,10861.99023,10919.95996,10861.99023,10873.19043
2019/7/18,10821.91992,10835.42969,10792.26953,10799.28027
2019/7/17,10861.11035,10861.11035,10804.33984,10828.48047
2019/7/16,10865,10899.83984,10865,10886.0498
2019/7/15,10819.91992,10880.55957,10769.57031,10876.42969
2019/7/12,10855.16016,10867.58984,10823.88965,10824.34961
2019/7/11,10817.59961,10856.50977,10799.65039,10843.41992
2019/7/10,10723.23047,10810.16016,10723.23047,10798.48047
2019/7/9,10729.83008,10733.57031,10680.84961,10702.78027
2019/7/8,10742.80957,10781.11035,10708.91992,10751.21973
2019/7/5,10785.84961,10812.37988,10756.66992,10785.73047
2019/7/4,10755.87012,10791.28027,10750.90039,10775.90039
2019/7/3,10793.09961,10812.65039,10720.66016,10743.76953
2019/7/2,10878.00977,10888.20996,10843.63965,10865.12012
2019/7/1,10821.2998,10914.84961,10821.2998,10895.45996
2019/6/28,10786.66016,10788.08008,10719.08008,10730.83008
2019/6/27,10674.2002,10800.29004,10674.2002,10773.90039
2019/6/26,10661.38965,10690.98047,10645.37012,10652.5498
2019/6/25,10777.17969,10787.62012,10693.04004,10706.71973
2019/6/24,10734.25,10786.33008,10695.49023,10779.4502
2019/6/21,10817.70996,10840.29004,10773.46973,10803.76953
2019/6/20,10749.41016,10799.13965,10745.25,10785.00977
2019/6/19,10650.48047,10778.63965,10650.48047,10775.33984
2019/6/18,10547.15039,10573.76953,10521.7002,10566.74023
2019/6/17,10488.7002,10562.96973,10474.19043,10530.54004
2019/6/14,10546.41992,10568.91992,10517.82031,10524.66992
2019/6/13,10582.19043,10617.05957,10539.49023,10561.00977
2019/6/12,10605.75,10630.69043,10566.37012,10615.66016
2019/6/11,10567.54004,10637.90039,10548.05957,10607.75977
2019/6/10,10486.23047,10566.46973,10466.24023,10566.46973
2019/6/6,10409.90039,10429.33008,10371.08008,10409.2002
