date,open,high,low,close
2019/10/18,11166,11245,11132,11149
2019/10/17,11131,11166,11098,11158
2019/10/16,11097,11147,11088,11131
2019/10/15,11053,11098,11030,11087
2019/10/14,10862,11068,10758,11056
2019/10/9,10986,10986,10863,10865
2019/10/8,10893,10998,10885,10981
2019/10/7,10847,10916,10838,10894
2019/10/4,10848,10893,10801,10860
2019/10/3,10903,10903,10759,10833
2019/10/2,10940,10943,10884,10906
2019/10/1,10819,10942,10753,10935
2019/9/27,10828,10877,10792,10805
2019/9/26,10818,10875,10776,10825
2019/9/25,10888,10890,10790,10823
2019/9/24,10884,10912,10850,10888
2019/9/23,10900,10912,10844,10876
2019/9/20,10851,10903,10842,10885
2019/9/19,10881,10920,10832,10855
2019/9/18,10817,10904,10817,10878
2019/9/17,10848,10860,10820,10826
2019/9/16,10780,10839,10758,10830
2019/9/12,10740,10830,10739,10786
2019/9/11,10701,10766,10690,10735
2019/9/10,10745,10767,10691,10701
2019/9/9,10730,10780,10715,10748
2019/9/6,10664,10745,10664,10722
2019/9/5,10647,10706,10630,10686
2019/9/4,10482,10606,10478,10595
2019/9/3,10556,10580,10493,10495
2019/9/2,10519,10566,10512,10555
2019/8/30,10410,10532,10410,10530
2019/8/29,10353,10392,10313,10383
2019/8/28,10305,10390,10305,10364
2019/8/27,10309,10336,10300,10317
2019/8/26,10455,10460,10251,10262
2019/8/23,10436,10459,10395,10453
2019/8/22,10496,10512,10424,10431
2018/11/21,9735,9760,9624,9743
2018/11/20,9826,9851,9703,9732
2018/11/19,9781,9838,9735,9818
2018/11/16,9843,9928,9756,9785
2018/11/15,9770,9839,9708,9827
2018/11/14,9730,9809,9719,9768
2018/11/13,9818,9822,9528,9726
2018/11/12,9777,9864,9701,9812
2018/11/9,9918,9934,9754,9791
2018/11/8,9841,10000,9837,9922
2018/11/7,9784,9890,9757,9847
2018/11/6,9813,9867,9746,9774
2018/11/5,9883,9931,9741,9817
2018/11/2,9771,9884,9752,9872
2018/11/1,9721,9827,9705,9788
2018/10/31,9510,9748,9483,9725
2018/10/30,9461,9575,9326,9523
2018/10/29,9453,9539,9348,9472
2018/10/26,9506,9637,9339,9424
2018/10/25,9698,9749,9414,9486
2018/10/24,9709,9791,9590,9715
2018/10/23,9930,9946,9723,9729
2018/10/22,9903,9972,9761,9935
2018/10/19,9873,9914,9743,9901
2018/10/18,9980,9988,9869,9883
2018/10/17,9904,10065,9899,9965
2018/10/16,9842,9962,9827,9908
2018/10/15,9960,9960,9836,9845
2018/10/12,9670,9994,9625,9942
2018/10/11,10458,10472,9616,9638
2018/10/9,10429,10504,10382,10458
2018/10/8,10503,10525,10405,10459
2018/10/5,10672,10694,10429,10505
2018/10/4,10852,10867,10683,10690
2018/10/3,10854,10902,10831,10844
2018/10/2,10999,11008,10866,10869
2018/10/1,10942,11005,10911,10994
2018/9/28,10973,11026,10911,10944
2018/9/27,10957,10999,10912,10969
2018/9/26,10974,10985,10939,10962
2018/9/25,10963,10984,10925,10966
2018/9/21,10835,10963,10834,10960
2018/9/20,10865,10909,10817,10839
2018/9/19,10802,10861,10790,10861
2018/9/18,10808,10818,10750,10768
2018/9/17,10864,10883,10799,10810
2018/9/14,10717,10865,10715,10860
2018/9/13,10709,10760,10690,10705
2018/9/12,10714,10753,10682,10714
2018/9/11,10700,10738,10670,10726
2018/9/10,10824,10850,10690,10713
2018/9/7,10883,10900,10779,10818
2018/9/6,10856,10920,10840,10872
2018/9/5,10979,10988,10917,10920
2018/9/4,10913,10972,10910,10971
2018/9/3,10967,11006,10897,10907
2018/8/31,10997,11008,10920,10988
2018/8/30,10998,11087,10981,10981
2018/8/29,10918,11005,10918,10998
2018/8/28,10858,10933,10857,10915
2018/8/27,10744,10851,10736,10845
2018/8/24,10810,10813,10705,10756
2018/8/23,10745,10810,10735,10808
2018/8/22,10746,10778,10713,10738
2018/8/21,10672,10747,10653,10740
2018/8/20,10615,10689,10591,10650
2018/8/17,10653,10713,10625,10637
2018/8/16,10587,10691,10565,10658
2017/11/15,10682,10685,10602,10638
2017/11/14,10691,10715,10638,10684
2017/11/13,10723,10727,10688,10691
2017/11/10,10733,10737,10662,10728
2017/11/9,10801,10823,10706,10722
2017/11/8,10827,10831,10796,10805
2017/11/7,10773,10825,10769,10823
2017/11/6,10788,10828,10745,10771
2017/11/3,10781,10810,10747,10787
2017/11/2,10806,10832,10758,10781
2017/11/1,10781,10826,10775,10808
2017/10/31,10749,10800,10730,10782
2017/10/30,10712,10820,10709,10745
2017/10/27,10727,10792,10684,10710
2017/10/26,10741,10750,10690,10726
2017/10/25,10740,10782,10728,10738
2017/10/24,10737,10758,10709,10744
2017/10/23,10744,10786,10720,10736
2017/10/20,10757,10764,10684,10729
2017/10/19,10724,10800,10724,10761
2017/10/18,10713,10775,10688,10724
2017/10/17,10742,10767,10714,10715
2017/10/16,10699,10748,10691,10743
2017/10/13,10683,10700,10657,10697
2017/10/12,10615,10688,10610,10682
2017/10/11,10504,10629,10490,10615
2017/10/6,10492,10527,10481,10506
2017/10/5,10442,10501,10422,10489
2017/10/3,10420,10458,10412,10446
2017/10/2,10371,10439,10370,10433
2017/9/30,10306,10375,10301,10361
2017/9/29,10274,10309,10247,10300
2017/9/28,10301,10331,10249,10286
2017/9/27,10251,10320,10241,10303
2017/9/26,10315,10350,10242,10245
2017/9/25,10415,10435,10299,10314
2017/9/22,10557,10561,10412,10415
2017/9/21,10495,10565,10457,10557
2016/11/16,8990,9034,8979,8984
2016/11/15,8900,8975,8896,8938
2016/11/14,8957,8988,8877,8945
2016/11/11,9048,9057,8949,8967
2016/11/10,9140,9192,9134,9176
2016/11/9,9223,9307,8891,8926
2016/11/8,9216,9230,9162,9225
2016/11/7,9131,9200,9115,9196
2016/11/4,9058,9094,9047,9064
2016/11/3,9131,9160,9078,9088
2016/11/2,9199,9225,9144,9160
2016/11/1,9259,9292,9226,9280
2016/10/31,9263,9300,9174,9283
2016/10/28,9286,9313,9261,9280
2016/10/27,9324,9348,9260,9287
2016/10/26,9340,9363,9323,9336
2016/10/25,9328,9394,9308,9374
2016/10/24,9294,9325,9269,9309
2016/10/21,9259,9322,9241,9264
2016/10/20,9269,9295,9235,9278
2016/10/19,9214,9268,9206,9251
2016/10/18,9155,9204,9129,9200
2016/10/17,9147,9171,9040,9143
2016/10/14,9172,9200,9125,9148
2016/10/13,9236,9253,9154,9176
2016/10/12,9145,9245,9139,9234
2016/10/11,9263,9309,9117,9161
2016/10/7,9219,9238,9205,9220
2016/10/6,9250,9252,9178,9226
2016/10/5,9183,9235,9172,9209
2016/10/4,9173,9229,9160,9219
2016/10/3,9177,9200,9134,9166
2016/9/30,9160,9176,9100,9100
2016/9/29,9194,9268,9180,9225
2016/9/26,9199,9199,9122,9127
2016/9/23,9205,9220,9165,9209
2016/9/22,9199,9234,9130,9160
2015/11/18,8440,8450,8326,8336
2015/11/17,8370,8490,8369,8440
2015/11/16,8245,8307,8212,8290
2015/11/13,8380,8472,8318,8356
2015/11/12,8404,8461,8354,8461
2015/11/11,8507,8549,8372,8380
2015/11/10,8581,8592,8512,8532
2015/11/9,8677,8748,8597,8631
2015/11/6,8850,8858,8650,8689
2015/11/5,8879,8899,8832,8870
2015/11/4,8765,8900,8751,8882
2015/11/3,8665,8740,8645,8721
2015/11/2,8535,8598,8502,8583
2015/10/30,8560,8600,8484,8568
2015/10/29,8681,8685,8545,8550
2015/10/28,8685,8710,8613,8638
2015/10/27,8722,8728,8655,8691
2015/10/26,8730,8765,8716,8736
