date,open,high,low,close
2019/10/1,10819,11245,10753,11149
2019/9/2,10519,10920,10478,10805
2019/8/22,10496,10532,10251,10530
2018/11/1,9721,10000,9528,9743
2018/10/1,10942,11008,9326,9725
2018/9/3,10967,11026,10670,10944
2018/8/16,10587,11087,10565,10988
2017/11/1,10781,10832,10602,10638
2017/10/2,10371,10820,10370,10782
2017/9/21,10495,10565,10241,10361
2016/11/1,9259,9307,8877,8984
2016/10/3,9177,9394,9040,9283
2016/9/22,9199,9268,9100,9100
2015/11/2,8535,8900,8212,8336
2015/10/1,8175,8765,8100,8568
2015/9/17,8350,8450,7966,8118
2014/11/3,8978,9105,8839,8953
2014/10/1,8946,9104,8497,8975
2014/9/18,9235,9301,8870,8988
2013/11/1,8457,8476,8085,8219
2013/10/1,8110,8465,8106,8429
2013/9/23,8160,8247,8056,8091
2012/11/1,7098,7304,7029,7084
2012/10/1,7699,7740,7090,7141
2012/9/20,7775,7800,7663,7712
2011/11/1,7570,7709,7275,7397
2011/10/3,7026,7777,6861,7562
2011/9/22,7330,7339,6840,7165
2010/11/1,8325,8500,8220,8246
2010/10/1,8230,8368,7921,8302
2010/9/16,8133,8271,8047,8193
2009/11/2,7150,7997,7135,7787
2009/10/1,7511,7772,7205,7283
2009/9/17,7500,7527,7188,7473
2008/11/3,4910,5100,4183,4261
2008/10/1,5618,5749,3811,4844
2008/9/18,5549,6176,5401,5528
2007/11/1,9815,9835,8342,8438
2007/10/1,9500,9864,9234,9780
2007/9/20,9078,9504,8980,9504
2006/11/1,6999,7266,6956,7247
2006/10/2,6879,7152,6859,7002
2006/9/21,6934,6976,6820,6880
2005/11/1,5806,6107,5786,6039
2005/10/3,6105,6164,5611,5775
2005/9/22,6035,6121,5895,6090
2004/11/1,5701,6043,5610,6040
2004/10/1,5898,6170,5598,5691
2004/9/16,5830,5955,5784,5870
2003/11/3,6068,6190,5734,5865
2003/10/1,5608,6193,5597,6068
2003/9/18,5759,5785,5640,5640
2002/11/1,4558,4828,4425,4661
2002/10/1,4090,4631,3764,4549
2002/9/19,4472,4588,4031,4140
2001/11/1,3878,4597,3840,4560
2001/10/2,3615,4054,3401,3866
2001/9/21,3670,3670,3347,3615
2000/11/1,5645,6309,5401,5830
2000/10/2,6360,6563,4983,5555
2000/9/21,6934,7020,6256,6280
