date,open,high,low,close
2019/10/14,10862,11245,10758,11149
2019/10/7,10847,10998,10838,10865
2019/10/1,10819,10943,10753,10860
2019/9/23,10900,10912,10776,10805
2019/9/16,10780,10920,10758,10885
2019/9/9,10730,10830,10690,10786
2019/9/2,10519,10745,10478,10722
2019/8/26,10455,10532,10251,10530
2019/8/22,10496,10512,10395,10453
2018/11/19,9781,9851,9624,9743
2018/11/12,9777,9928,9528,9785
2018/11/5,9883,10000,9741,9791
2018/10/29,9453,9884,9326,9872
2018/10/22,9903,9972,9339,9424
2018/10/15,9960,10065,9743,9901
2018/10/8,10503,10525,9616,9942
2018/10/1,10942,11008,10429,10505
2018/9/25,10963,11026,10911,10944
2018/9/17,10864,10963,10750,10960
2018/9/10,10824,10865,10670,10860
2018/9/3,10967,11006,10779,10818
2018/8/27,10744,11087,10736,10988
2018/8/20,10615,10813,10591,10756
2018/8/16,10587,10713,10565,10637
2017/11/13,10723,10727,10602,10638
2017/11/6,10788,10831,10662,10728
2017/10/30,10712,10832,10709,10787
2017/10/23,10744,10792,10684,10710
2017/10/16,10699,10800,10684,10729
2017/10/11,10504,10700,10490,10697
2017/10/2,10371,10527,10370,10506
2017/9/25,10415,10435,10241,10361
2017/9/21,10495,10565,10412,10415
2016/11/14,8957,9034,8877,8984
2016/11/7,9131,9307,8891,8967
2016/10/31,9263,9300,9047,9064
2016/10/24,9294,9394,9260,9280
2016/10/17,9147,9322,9040,9264
2016/10/11,9263,9309,9117,9148
2016/10/3,9177,9252,9134,9220
2016/9/26,9199,9268,9100,9100
2016/9/22,9199,9234,9130,9209
2015/11/16,8245,8490,8212,8336
2015/11/9,8677,8748,8318,8356
2015/11/2,8535,8900,8502,8689
2015/10/26,8730,8765,8484,8568
2015/10/19,8617,8752,8566,8694
2015/10/12,8475,8652,8455,8596
2015/10/5,8341,8531,8265,8432
2015/9/30,8004,8313,7966,8265
2015/9/21,8287,8320,8016,8101
2015/9/17,8350,8450,8347,8425
2014/11/17,8959,9043,8839,8953
2014/11/10,8965,9105,8901,8962
2014/11/3,8978,9055,8862,8937
2014/10/27,8675,8978,8592,8975
2014/10/20,8599,8764,8588,8641
2014/10/13,8810,8815,8497,8499
2014/10/6,9104,9104,8918,8978
2014/9/29,8991,9102,8870,9093
2014/9/22,9204,9204,8932,8978
2014/9/18,9235,9301,9215,9262
2013/11/18,8194,8258,8178,8219
2013/11/11,8230,8247,8085,8161
2013/11/4,8360,8369,8211,8224
2013/10/28,8320,8476,8320,8391
2013/10/21,8441,8445,8291,8320
2013/10/14,8341,8429,8261,8417
2013/10/7,8383,8435,8270,8346
2013/9/30,8106,8377,8056,8352
2013/9/23,8160,8247,8134,8158
2012/11/19,7147,7181,7051,7084
2012/11/12,7265,7304,7036,7107
2012/11/5,7190,7301,7126,7286
2012/10/29,7110,7225,7029,7201
2012/10/22,7300,7360,7090,7092
2012/10/15,7386,7508,7376,7387
2012/10/8,7690,7690,7379,7405
2012/10/1,7699,7740,7630,7695
2012/9/24,7732,7800,7663,7712
2012/9/20,7775,7777,7709,7753
2011/11/14,7493,7563,7384,7397
2011/11/7,7617,7709,7275,7356
2011/10/31,7649,7685,7438,7628
2011/10/24,7394,7777,7381,7628
2011/10/17,7445,7480,7193,7260
2011/10/11,7350,7450,7321,7361
2011/10/3,7026,7250,6861,7178
2011/9/26,7051,7210,6840,7165
2011/9/22,7330,7339,6957,7030
2010/11/15,8296,8342,8220,8246
2010/11/8,8482,8492,8301,8311
2010/11/1,8325,8500,8283,8464
2010/10/25,8173,8368,8158,8302
2010/10/18,8175,8175,7921,8139
2010/10/11,8226,8226,7999,8168
2010/10/4,8223,8275,8106,8193
2010/9/27,8182,8271,8131,8212
2010/9/20,8132,8229,8105,8129
2010/9/16,8133,8188,8047,8154
2009/11/16,7688,7997,7676,7787
2009/11/9,7540,7719,7505,7673
2009/11/2,7150,7524,7135,7474
2009/10/26,7619,7765,7205,7283
2009/10/19,7630,7772,7524,7599
2009/10/12,7555,7755,7255,7668
2009/10/5,7322,7596,7308,7527
2009/9/28,7257,7594,7200,7338
2009/9/21,7485,7527,7188,7320
2009/9/17,7500,7500,7400,7447
2008/11/17,4280,4432,4183,4261
2008/11/10,4658,4692,4206,4380
2008/11/3,4910,5100,4272,4633
2008/10/27,4126,4910,3811,4844
2008/10/20,4804,4950,4337,4337
2008/10/13,4846,5235,4804,4804
2008/10/6,5533,5533,5016,5024
2008/9/30,5442,5749,5442,5631
2008/9/22,6117,6176,5802,5851
2008/9/18,5549,5887,5401,5887
2007/11/19,8780,8825,8342,8438
2007/11/12,8715,8980,8560,8756
2007/11/5,9210,9403,8820,8969
2007/10/29,9780,9864,9203,9230
2007/10/22,9358,9685,9234,9677
2007/10/15,9557,9696,9421,9613
2007/10/8,9700,9800,9461,9466
2007/10/1,9500,9829,9484,9620
2007/9/26,9199,9504,9180,9504
2007/9/20,9078,9135,8980,9135
2006/11/13,7162,7266,7110,7247
2006/11/6,7100,7232,7045,7162
2006/10/30,7035,7179,6956,7141
2006/10/23,7028,7130,6977,7093
2006/10/16,7090,7152,6961,7017
2006/10/11,7004,7098,6966,7090
2006/10/2,6879,7017,6859,7005
2006/9/25,6852,6976,6822,6880
2006/9/21,6934,6934,6820,6855
2005/11/14,6094,6107,5980,6039
2005/11/7,5891,6096,5826,6096
2005/10/31,5700,5916,5685,5885
2005/10/24,5745,5807,5611,5660
2005/10/17,5981,5990,5633,5735
2005/10/11,6100,6129,5943,5969
2005/10/3,6105,6164,6075,6100
2005/9/26,5955,6121,5895,6090
2005/9/22,6035,6068,5901,5930
2004/11/15,5978,6043,5898,6040
2004/11/8,5925,5991,5868,5935
2004/11/1,5701,5967,5610,5920
2004/10/26,5708,5734,5598,5691
2004/10/18,5830,5848,5751,5796
2004/10/11,6110,6124,5788,5816
2004/10/4,6001,6170,6000,6128
2004/9/27,5874,5940,5840,5937
2004/9/20,5801,5955,5795,5878
2004/9/16,5830,5878,5784,5784
2003/11/17,6018,6018,5842,5865
2003/11/10,6032,6087,5995,6058
2003/11/3,6068,6190,5734,6059
2003/10/27,5975,6193,5963,6068
2003/10/20,6060,6115,5936,5958
2003/10/13,5931,6085,5908,6080
2003/10/6,5762,5890,5762,5890
2003/9/29,5675,5743,5597,5740
2003/9/22,5720,5735,5648,5683
2003/9/18,5759,5785,5700,5750
2002/11/18,4810,4828,4640,4661
2002/11/11,4735,4825,4610,4815
2002/11/4,4586,4793,4515,4783
2002/10/28,4570,4631,4406,4466
2002/10/21,4350,4594,4275,4520
2002/10/14,3855,4436,3820,4400
2002/10/7,3990,3990,3764,3818
2002/9/30,4101,4210,3966,4022
2002/9/23,4399,4399,4100,4185
2002/9/19,4472,4588,4306,4378
2001/11/19,4444,4597,4405,4560
2001/11/12,4031,4460,4010,4433
2001/11/5,3945,4089,3918,4020
2001/10/29,3983,4020,3812,3931
2001/10/22,3830,4054,3830,3988
2001/10/15,3810,3849,3706,3820
2001/10/8,3547,3938,3502,3825
2001/10/2,3615,3633,3401,3547
2001/9/24,3347,3657,3347,3615
2001/9/21,3670,3670,3670,3670
2000/11/13,6040,6049,5772,5830
2000/11/6,5755,6309,5643,6210
2000/10/30,5501,5945,5401,5695
2000/10/23,5631,6000,5540,5700
2000/10/16,6200,6260,4983,5640
2000/10/9,6450,6450,5385,5900
2000/10/2,6360,6563,6075,6440
2000/9/25,6678,7000,6256,6280
2000/9/21,6934,7020,6580,6616
