Date,Open,High,Low,Close
2018/12/28 13:45,9669,9671,9668,9669
2018/12/28 13:40,9679,9679,9668,9670
2018/12/28 13:35,9678,9680,9668,9679
2018/12/28 13:30,9666,9678,9664,9678
2018/12/28 13:25,9663,9666,9661,9666
2018/12/28 13:20,9661,9667,9660,9664
2018/12/28 13:15,9670,9670,9660,9661
2018/12/28 13:10,9667,9674,9666,9670
2018/12/28 13:05,9665,9672,9663,9668
2018/12/28 13:00,9668,9671,9666,9666
2018/12/28 12:55,9669,9671,9667,9668
2018/12/28 12:50,9669,9672,9668,9669
2018/12/28 12:45,9667,9671,9666,9669
2018/12/28 12:40,9669,9670,9665,9667
2018/12/28 12:35,9658,9669,9658,9669
2018/12/28 12:30,9659,9662,9658,9658
2018/12/28 12:25,9662,9663,9659,9660
2018/12/28 12:20,9659,9662,9658,9662
2018/12/28 12:15,9664,9665,9658,9660
2018/12/28 12:10,9659,9664,9656,9664
2018/12/28 12:05,9658,9660,9656,9659
2018/12/28 12:00,9656,9660,9656,9658
2018/12/28 11:55,9658,9658,9654,9656
2018/12/28 11:50,9657,9658,9654,9658
2018/12/28 11:45,9659,9659,9655,9656
2018/12/28 11:40,9656,9660,9654,9660
2018/12/28 11:35,9650,9657,9649,9656
2018/12/28 11:30,9652,9653,9648,9650
2018/12/28 11:25,9654,9657,9651,9652
2018/12/28 11:20,9651,9656,9649,9653
2018/12/28 11:15,9651,9652,9649,9650
2018/12/28 11:10,9654,9655,9649,9650
2018/12/28 11:05,9655,9661,9654,9655
2018/12/28 11:00,9650,9655,9648,9654
2018/12/28 10:55,9654,9656,9649,9651
2018/12/28 10:50,9656,9659,9654,9654
2018/12/28 10:45,9655,9658,9651,9658
2018/12/28 10:40,9655,9657,9653,9655
2018/12/28 10:35,9664,9666,9655,9655
2018/12/28 10:30,9657,9664,9654,9664
2018/12/28 10:25,9653,9664,9650,9656
2018/12/28 10:20,9647,9656,9646,9652
2018/12/28 10:15,9638,9647,9637,9646
2018/12/28 10:10,9644,9646,9638,9638
2018/12/28 10:05,9634,9647,9632,9645
2018/12/28 10:00,9626,9636,9624,9635
2018/12/28 09:55,9635,9637,9622,9627
2018/12/28 09:50,9644,9647,9634,9635
2018/12/28 09:45,9640,9645,9636,9644
2018/12/28 09:40,9649,9652,9639,9640
2018/12/28 09:35,9645,9650,9637,9649
2018/12/28 09:30,9658,9660,9642,9646
2018/12/28 09:25,9648,9658,9643,9657
2018/12/28 09:20,9639,9649,9636,9647
2018/12/28 09:15,9640,9644,9633,9639
2018/12/28 09:10,9644,9648,9635,9640
2018/12/28 09:05,9648,9654,9639,9645
2018/12/28 09:00,9648,9652,9643,9648
2018/12/28 08:55,9643,9648,9641,9648
2018/12/28 08:50,9630,9646,9625,9641
2018/12/28 05:00,9627,9635,9627,9634
2018/12/28 04:55,9634,9637,9626,9626
2018/12/28 04:50,9638,9640,9627,9633
2018/12/28 04:45,9619,9641,9618,9640
2018/12/28 04:40,9609,9620,9608,9618
2018/12/28 04:35,9603,9613,9599,9608
2018/12/28 04:30,9592,9605,9590,9603
2018/12/28 04:25,9581,9594,9581,9593
2018/12/28 04:20,9584,9585,9579,9580
2018/12/28 04:15,9571,9585,9568,9584
2018/12/28 04:10,9565,9572,9565,9570
2018/12/28 04:05,9575,9577,9561,9566
2018/12/28 04:00,9574,9576,9571,9574
2018/12/28 03:55,9563,9578,9561,9574
2018/12/28 03:50,9568,9569,9560,9563
2018/12/28 03:45,9555,9569,9555,9566
2018/12/28 03:40,9548,9556,9548,9555
2018/12/28 03:35,9552,9552,9546,9550
2018/12/28 03:30,9546,9553,9543,9552
2018/12/28 03:25,9545,9549,9543,9546
2018/12/28 03:20,9544,9546,9540,9545
2018/12/28 03:15,9546,9549,9544,9545
2018/12/28 03:10,9549,9556,9546,9547
2018/12/28 03:05,9548,9549,9542,9549
2018/12/28 03:00,9546,9550,9545,9549
2018/12/28 02:55,9550,9551,9544,9546
2018/12/28 02:50,9553,9557,9548,9550
2018/12/28 02:45,9560,9560,9553,9554
2018/12/28 02:40,9564,9564,9561,9561
2018/12/28 02:35,9562,9565,9562,9565
2018/12/28 02:30,9565,9568,9562,9562
2018/12/28 02:25,9565,9566,9563,9565
2018/12/28 02:20,9567,9569,9564,9565
2018/12/28 02:15,9570,9572,9566,9569
2018/12/28 02:10,9569,9572,9568,9570
2018/12/28 02:05,9568,9570,9566,9568
2018/12/28 02:00,9569,9570,9565,9570
2018/12/28 01:55,9565,9569,9563,9569
2018/12/28 01:50,9563,9569,9560,9565
2018/12/28 01:45,9567,9568,9561,9562
2018/12/28 01:40,9566,9569,9562,9567
